Data,Hora,Data Valor,Produto,ISIN,Descrição,T.,Mudança,,Saldo,,ID da Ordem
26-06-2025,17:59,26-06-2025,VIATRIS INC,US92556V1061,Levantamento de divisa,1.1745,USD,-9.05,USD,0.00,
26-06-2025,17:59,26-06-2025,VIATRIS INC,US92556V1061,Crédito de divisa,,EUR,7.71,EUR,9.75,
26-06-2025,17:59,26-06-2025,VIATRIS INC,US92556V1061,Comissões de transação DEGIRO e/ou taxas de terceiros,,EUR,-2.00,EUR,2.04,
26-06-2025,17:59,26-06-2025,VIATRIS INC,US92556V1061,"Venda 1 Viatris Inc@9,05 USD (US92556V1061)",,USD,9.05,USD,9.05,
26-06-2025,16:42,26-06-2025,,,"Levantamentos da sua Conta Caixa na flatexDEGIRO Bank AG: 9,67 EUR",,,,EUR,4.04,
26-06-2025,16:42,26-06-2025,,,Degiro Cash Sweep Transfer,,EUR,9.67,EUR,13.71,
26-06-2025,15:30,26-06-2025,VIATRIS INC,US92556V1061,Crédito de divisa,1.1690,USD,8.97,USD,0.00,
26-06-2025,15:30,26-06-2025,VIATRIS INC,US92556V1061,Levantamento de divisa,,EUR,-7.67,EUR,4.04,
26-06-2025,15:30,26-06-2025,VIATRIS INC,US92556V1061,Comissões de transação DEGIRO e/ou taxas de terceiros,,EUR,-2.00,EUR,11.71,
26-06-2025,15:30,26-06-2025,VIATRIS INC,US92556V1061,"Compra 1 Viatris Inc@8,97 USD (US92556V1061)",,USD,-8.97,USD,-8.97,
25-06-2025,14:27,25-06-2025,,,flatex Deposit,,EUR,12.00,EUR,13.71,
23-06-2025,03:31,23-06-2025,,,"Depósitos na sua Conta Caixa na flatexDEGIRO Bank AG: 0,04 EUR",,,,EUR,1.71,
23-06-2025,03:31,23-06-2025,,,Degiro Cash Sweep Transfer,,EUR,-0.04,EUR,1.67,
22-06-2025,00:36,20-06-2025,BANCO COMERCIAL PORTUGUES SA,PTBCP0AM0015,Dividendo,,EUR,0.06,EUR,1.71,
22-06-2025,00:36,20-06-2025,BANCO COMERCIAL PORTUGUES SA,PTBCP0AM0015,Imposto sobre dividendo,,EUR,-0.02,EUR,1.65,
23-05-2025,10:31,23-05-2025,,,Degiro Cash Sweep Transfer,,EUR,3.33,EUR,1.67,
23-05-2025,10:31,23-05-2025,,,"Levantamentos da sua Conta Caixa na flatexDEGIRO Bank AG: 3,33 EUR",,,,EUR,-1.66,
23-05-2025,09:20,23-05-2025,BANCO COMERCIAL PORTUGUES SA,PTBCP0AM0015,Comissões de transação DEGIRO e/ou taxas de terceiros,,EUR,-2.00,EUR,1.67,
23-05-2025,09:20,23-05-2025,BANCO COMERCIAL PORTUGUES SA,PTBCP0AM0015,"Compra 2 Banco Comercial Portugues SA@0,6636 EUR (PTBCP0AM0015)",,EUR,-1.33,EUR,3.67,
23-05-2025,01:16,22-05-2025,,,flatex Deposit,,EUR,3.00,EUR,5.00,
23-05-2025,00:56,22-05-2025,,,flatex Deposit,,EUR,2.00,EUR,2.00,
06-04-2025,10:02,31-03-2025,,,Flatex Interest Income,,EUR,0.00,EUR,0.00,
